symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
ETHBTC,-0.00062000,-1.131,0.05452506,0.05483000,0.05421000,2.77020000,0.05420000,46.67550000,0.05421000,59.77620000,0.05483000,0.05487000,0.05396000,29287.79370000,1596.91864178,1697695103863,1697781503863,424074141,424112330,38190
LTCBTC,-0.00000300,-0.140,0.00214510,0.00213800,0.00213400,1.39500000,0.00213400,56.64900000,0.00213500,99.57400000,0.00213700,0.00216000,0.00213100,24180.69300000,51.87009617,1697695086564,1697781486564,93819594,93826934,7341
BNBBTC,-0.00013200,-1.781,0.00734558,0.00741100,0.00727900,0.17700000,0.00727900,11.57600000,0.00728000,9.89500000,0.00741100,0.00742700,0.00725200,28467.24800000,209.10843125,1697695103469,1697781503469,227884319,227914707,30389
NEOBTC,-0.00000680,-2.858,0.00023119,0.00023780,0.00023110,4.17000000,0.00023100,6.40000000,0.00023110,337.62000000,0.00023790,0.00023810,0.00022650,19923.09000000,4.60599571,1697695101287,1697781501287,45561931,45563585,1655
QTUMETH,0.00000600,0.434,0.00137424,0.00139100,0.00138800,54.40000000,0.00138400,19.20000000,0.00138900,62.80000000,0.00138200,0.00138800,0.00135200,1101.10000000,1.51317520,1697694855110,1697781255110,5404035,5404074,40
EOSETH,0.00000500,1.467,0.00034302,0.00034120,0.00034590,88.90000000,0.00034510,55.10000000,0.00034580,851.40000000,0.00034090,0.00034590,0.00033920,19615.50000000,6.72855182,1697695105777,1697781505777,23503083,23503245,163
SNTETH,0.00000069,4.370,0.00001616,0.00001589,0.00001648,5888.00000000,0.00001617,52938.00000000,0.00001629,428.00000000,0.00001579,0.00001681,0.00001545,963539.00000000,15.56612018,1697695066772,1697781466772,3918725,3918921,197
BNTETH,-0.00000950,-2.497,0.00037407,0.00038160,0.00037090,91.10000000,0.00037000,2.90000000,0.00037070,204.70000000,0.00038040,0.00039060,0.00036500,60349.00000000,22.57475172,1697695011716,1697781411716,2255526,2256307,782
BCCBTC,0.00000000,0.000,0.00000000,0.07908100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
GASBTC,-0.00000150,-1.868,0.00007949,0.00008000,0.00007880,4.50000000,0.00007870,20.40000000,0.00007890,13.60000000,0.00008030,0.00008030,0.00007820,8680.90000000,0.69005635,1697695021331,1697781421331,20855737,20856240,504
BNBETH,-0.00080000,-0.592,0.13479287,0.13520000,0.13430000,0.94900000,0.13420000,9.85800000,0.13440000,33.00300000,0.13510000,0.13600000,0.13350000,6878.40500000,927.15996210,1697695091587,1697781491587,56513946,56520535,6590
BTCUSDT,903.81000000,3.192,28758.50366011,28312.26000000,29216.08000000,0.17643000,29216.08000000,3.76399000,29216.09000000,9.79193000,28312.27000000,29400.00000000,28242.67000000,44571.01792000,1281795781.98725520,1697695106064,1697781506064,3244972885,3246590606,1617722
ETHUSDT,31.16000000,2.007,1566.70386980,1552.65000000,1583.82000000,0.99340000,1583.81000000,0.40110000,1583.82000000,177.12910000,1552.66000000,1594.99000000,1541.76000000,224076.84950000,351062067.24436700,1697695106063,1697781506063,1211982796,1212497147,514352
HSRBTC,0.00000000,0.000,0.00000000,0.00041400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
OAXETH,0.00000000,0.000,0.00000000,0.00017780,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
DNTETH,0.00000000,0.000,0.00000000,0.00002801,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
MCOETH,0.00000000,0.000,0.00000000,0.00577200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
ICNETH,0.00000000,0.000,0.00000000,0.00166300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
MCOBTC,0.00000000,0.000,0.00000000,0.00021140,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
WTCBTC,0.00000003,0.591,0.00000508,0.00000511,0.00000511,4675.00000000,0.00000511,415.00000000,0.00000513,1330.00000000,0.00000508,0.00000517,0.00000501,256088.00000000,1.30086894,1697695080666,1697781480666,20246637,20247029,393
WTCETH,0.00000000,0.000,0.00000000,0.00023700,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
LRCBTC,-0.00000005,-0.877,0.00000562,0.00000570,0.00000565,32.00000000,0.00000566,693.00000000,0.00000567,4855.00000000,0.00000570,0.00000570,0.00000557,204107.00000000,1.14642012,1697695068563,1697781468563,22128486,22128770,285
LRCETH,0.00000045,0.433,0.00010302,0.00010432,0.00010436,197.00000000,0.00010433,5295.00000000,0.00010449,63.00000000,0.00010391,0.00010436,0.00010206,11533.00000000,1.18807204,1697695085422,1697781485422,4720508,4720559,52
QTUMBTC,-0.00000050,-0.661,0.00007462,0.00007590,0.00007510,91.60000000,0.00007500,74.70000000,0.00007520,123.10000000,0.00007560,0.00007560,0.00007380,5932.20000000,0.44266725,1697695104224,1697781504224,24090272,24090691,420
YOYOBTC,0.00000000,0.000,0.00000000,0.00000008,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
OMGBTC,0.00000000,0.000,0.00000000,0.00003080,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
OMGETH,0.00000000,0.000,0.00000000,0.00079100,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
ZRXBTC,-0.00000050,-6.545,0.00000747,0.00000762,0.00000714,1117.00000000,0.00000713,1658.00000000,0.00000714,1425.00000000,0.00000764,0.00000853,0.00000707,476030.00000000,3.55439882,1697695102879,1697781502879,25446498,25448008,1511
ZRXETH,0.00000000,0.000,0.00000000,0.00009940,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
STRATBTC,0.00000000,0.000,0.00000000,0.00003085,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
STRATETH,0.00000000,0.000,0.00000000,0.00105300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
SNGLSBTC,0.00000000,0.000,0.00000000,0.00000013,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
SNGLSETH,0.00000000,0.000,0.00000000,0.00005306,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
BQXBTC,0.00000000,0.000,0.00000000,0.00008703,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
BQXETH,0.00000000,0.000,0.00000000,0.00126350,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
KNCBTC,-0.00000108,-4.704,0.00002220,0.00002299,0.00002188,168.80000000,0.00002184,1150.40000000,0.00002185,309.90000000,0.00002296,0.00002347,0.00002124,219554.20000000,4.87349800,1697695105641,1697781505641,20290565,20292428,1864
KNCETH,0.00000000,0.000,0.00000000,0.00039410,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
FUNBTC,0.00000000,0.000,0.00000000,0.00000029,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
FUNETH,0.00000022,8.494,0.00000317,0.00000259,0.00000281,10440.00000000,0.00000280,163377.00000000,0.00000281,83398.00000000,0.00000259,0.00000367,0.00000259,105022539.00000000,332.60511420,1697695090924,1697781490924,3205096,3210371,5276
SNMBTC,-0.00000069,-54.762,0.00000098,0.00000127,0.00000057,46703.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000126,0.00000147,0.00000055,26662465.00000000,26.13502488,1692586803266,1692673203266,14644423,14651718,7296
SNMETH,0.00000000,0.000,0.00000000,0.00004986,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
NEOETH,-0.00007300,-1.683,0.00423529,0.00434100,0.00426500,4.28000000,0.00426000,4.28000000,0.00426400,14.62000000,0.00433800,0.00434600,0.00415100,1723.22000000,7.29834185,1697695103305,1697781503305,11354968,11355483,516
IOTABTC,-0.00000002,-0.406,0.00000492,0.00000492,0.00000491,2200.00000000,0.00000490,9404.00000000,0.00000491,7630.00000000,0.00000493,0.00000496,0.00000486,495276.00000000,2.43694845,1697695100829,1697781500829,34364880,34365275,396
IOTAETH,0.00000100,1.120,0.00009004,0.00008970,0.00009030,18.00000000,0.00009040,6000.00000000,0.00009080,1968.00000000,0.00008930,0.00009070,0.00008910,69794.00000000,6.28443280,1697695067824,1697781467824,7783777,7783867,91
LINKBTC,-0.00000340,-1.315,0.00025658,0.00025850,0.00025510,125.84000000,0.00025500,745.46000000,0.00025520,1210.88000000,0.00025850,0.00026000,0.00025400,143174.26000000,36.73511340,1697695104190,1697781504190,89948945,89955036,6092
LINKETH,-0.00000500,-0.106,0.00471006,0.00471500,0.00470600,5.57000000,0.00470600,31.59000000,0.00470800,100.54000000,0.00471100,0.00475500,0.00464800,16984.04000000,79.99582955,1697695104457,1697781504457,20395151,20396605,1455
XVGBTC,0.00000000,0.000,0.00000000,0.00000015,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
XVGETH,0.00000000,0.000,0.00000204,0.00000203,0.00000204,3032.00000000,0.00000203,138593.00000000,0.00000204,12002.00000000,0.00000204,0.00000205,0.00000201,321463.00000000,0.65596674,1697695104852,1697781504852,11232237,11232271,35
SALTBTC,0.00000000,0.000,0.00000000,0.00004250,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
SALTETH,0.00000000,0.000,0.00000000,0.00113800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
MDABTC,0.00000000,0.000,0.00000000,0.00000382,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
MDAETH,0.00000000,0.000,0.00000000,0.00181150,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
MTLBTC,-0.00000058,-1.325,0.00004360,0.00004389,0.00004321,4.90000000,0.00004331,43.00000000,0.00004344,5.80000000,0.00004379,0.00004429,0.00004304,6818.00000000,0.29727750,1697695093652,1697781493652,20585394,20585575,182
MTLETH,-0.00000210,-0.306,0.00067987,0.00068740,0.00068340,45.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00068550,0.00069230,0.00065730,4696.30000000,3.19288504,1693454410058,1693540810058,3097721,3097755,35
SUBBTC,0.00000000,0.000,0.00000000,0.00000457,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
SUBETH,0.00000000,0.000,0.00000000,0.00012334,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
EOSBTC,0.00000004,0.214,0.00001864,0.00001872,0.00001872,327.70000000,0.00001871,860.60000000,0.00001872,1560.30000000,0.00001868,0.00001876,0.00001850,529553.60000000,9.87188635,1697695066906,1697781466906,74828582,74830261,1680
SNTBTC,0.00000001,1.149,0.00000088,0.00000087,0.00000088,63045.00000000,0.00000087,548169.00000000,0.00000088,421.00000000,0.00000087,0.00000091,0.00000084,4404965.00000000,3.88123662,1697695098580,1697781498580,12662867,12664000,1134
ETCETH,0.00008000,0.845,0.00947351,0.00951000,0.00955000,3.67000000,0.00956000,13.19000000,0.00957000,20.44000000,0.00947000,0.00958000,0.00942000,615.17000000,5.82782050,1697695082245,1697781482245,8671632,8671831,200
ETCBTC,-0.00000200,-0.385,0.00051665,0.00052000,0.00051800,35.70000000,0.00051800,712.72000000,0.00051900,321.28000000,0.00052000,0.00052100,0.00051300,19778.52000000,10.21863782,1697695104767,1697781504767,43909035,43910617,1583
MTHBTC,0.00000000,0.000,0.00000000,0.00000023,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
MTHETH,0.00000000,0.000,0.00000000,0.00004135,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
ENGBTC,0.00000000,0.000,0.00000000,0.00006200,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
ENGETH,0.00000000,0.000,0.00000000,0.00186480,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
DNTBTC,0.00000000,0.000,0.00000000,0.00000186,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
ZECBTC,-0.00000800,-0.909,0.00087645,0.00088400,0.00087200,1.56900000,0.00087300,17.98900000,0.00087400,0.42100000,0.00088000,0.00088200,0.00086500,7433.02900000,6.51464493,1697695096878,1697781496878,28081612,28082093,482
ZECETH,-0.00006000,-0.372,0.01596819,0.01610000,0.01607000,0.38100000,0.01609000,4.74400000,0.01612000,0.38100000,0.01613000,0.01614000,0.01584000,281.06700000,4.48813140,1697695101666,1697781501666,3583856,3583936,81
BNTBTC,-0.00000075,-3.601,0.00002065,0.00002081,0.00002008,5.50000000,0.00002005,382.60000000,0.00002009,479.70000000,0.00002083,0.00002148,0.00001988,221762.70000000,4.57844288,1697695104863,1697781504863,8407940,8409904,1965
ASTBTC,-0.00000005,-1.761,0.00000285,0.00000284,0.00000279,2563.00000000,0.00000279,20827.00000000,0.00000281,3438.00000000,0.00000284,0.00000291,0.00000279,514104.00000000,1.46642685,1697695092525,1697781492525,17608979,17609529,551
ASTETH,0.00000000,0.000,0.00000000,0.00006960,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
DASHBTC,-0.00001000,-1.138,0.00086742,0.00087900,0.00086900,2.24100000,0.00086700,141.94900000,0.00086800,6.07600000,0.00087900,0.00087900,0.00086100,3695.11300000,3.20521355,1697695105001,1697781505001,27686065,27687422,1358
DASHETH,0.00008000,0.499,0.01589408,0.01600000,0.01611000,0.77400000,0.01598000,120.84000000,0.01607000,11.30500000,0.01603000,0.01611000,0.01582000,1298.63700000,20.64064337,1697695080723,1697781480723,3896326,3896528,203
OAXBTC,-0.00000022,-3.673,0.00000575,0.00000599,0.00000577,3384.00000000,0.00000576,5647.00000000,0.00000578,3475.00000000,0.00000599,0.00000609,0.00000543,2302016.00000000,13.24698877,1697695090629,1697781490629,16112919,16118305,5387
ICNBTC,0.00000000,0.000,0.00000000,0.00005742,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
BTGBTC,0.00000000,0.000,0.00000000,0.00091300,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
BTGETH,0.00000000,0.000,0.00000000,0.05274500,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
EVXBTC,0.00000000,0.000,0.00000000,0.00000274,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
EVXETH,0.00000000,0.000,0.00000000,0.00062490,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
REQBTC,-0.00000003,-1.288,0.00000229,0.00000232,0.00000230,1503.00000000,0.00000230,26018.00000000,0.00000232,34213.00000000,0.00000233,0.00000233,0.00000226,1173579.00000000,2.69106017,1697695097453,1697781497453,13911844,13912626,783
REQETH,0.00000000,0.000,0.00000000,0.00004995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
VIBBTC,-0.00000012,-6.091,0.00000183,0.00000196,0.00000185,2814.00000000,0.00000185,46621.00000000,0.00000186,25704.00000000,0.00000197,0.00000210,0.00000169,7805711.00000000,14.30073439,1697695098844,1697781498844,12551720,12556495,4776
VIBETH,0.00000000,0.000,0.00000000,0.00003450,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
HSRETH,0.00000000,0.000,0.00000000,0.01247400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
TRXBTC,-0.00000004,-1.270,0.00000312,0.00000314,0.00000311,2548.00000000,0.00000310,8044.00000000,0.00000311,1642698.00000000,0.00000315,0.00000316,0.00000308,16606446.00000000,51.84914357,1697695060883,1697781460883,69962268,69967551,5284
TRXETH,-0.00000018,-0.314,0.00005728,0.00005738,0.00005719,3259.00000000,0.00005716,8309.00000000,0.00005720,6291.00000000,0.00005737,0.00005783,0.00005674,3215222.00000000,184.17669307,1697695104700,1697781504700,36520862,36524446,3585
POWRBTC,0.00000069,12.321,0.00000613,0.00000560,0.00000629,235.00000000,0.00000629,1138.00000000,0.00000631,1082.00000000,0.00000560,0.00000643,0.00000538,1171992.00000000,7.18367914,1697695104675,1697781504675,16834893,16836382,1490
POWRETH,0.00001460,14.427,0.00011033,0.00010220,0.00011580,129.00000000,0.00011570,817.00000000,0.00011640,1086.00000000,0.00010120,0.00011770,0.00009850,224662.00000000,24.78805720,1697695090472,1697781490472,3151912,3152350,439
ARKBTC,0.00000000,0.000,0.00000000,0.00001679,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
ARKETH,0.00000000,0.000,0.00000000,0.00104600,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689575043801,1689661443801,-1,-1,0
